,iata,name,country,city_name,latitude,longitude
0,AAN,Al Ain International Airport,United Arab Emirates,Al Ain,24.260231,55.616626
1,AAP,Aji Pangeran Tumenggung Airport,Indonesia,Samarinda,-0.372898,117.250905
2,AAT,Altay Airport,China,Altay,47.750361,88.084444
3,AAY,Al Ghaydah,Republic of Yemen,Al Ghaydah,16.195959,52.173255
4,ABD,Abadan,Iran,Abadan,30.363905,48.226598
5,ABT,Al-Aqiq Airport,Saudi Arabia,Al-Baha,20.294011,41.64002
6,ABU,Haliwen Airport,Indonesia,Atambua,-9.075208,124.906972
7,ACF,Alaer Talimu Airport,China,Alaer,40.435556,81.263889
8,ACP,Sahand Airport,Iran,Sahand,37.347244,46.145116
9,ACX,Xingyi Airport,China,Xingyi,25.085556,104.959444
10,ACZ,Zabol Airport,Iran,Zabol,31.087694,61.542245
11,ADA,Adana,Turkiye,Adana,36.982185,35.280391
12,ADB,İzmir Adnan Menderes Airport,Turkiye,Izmir,38.294403,27.147594
13,ADE,Aden Intl,Republic of Yemen,Aden,12.826116,45.037535
14,ADU,Ardabil Airport,Iran,Ardabil,38.323826,48.42125
15,AEB,Tianyang,China,Baise,23.719469,106.967772
16,AEU,Abu Musa Airport,Iran,Abu Musa,25.875475,55.033913
17,AGR,Agra,India,Agra,27.158333,77.962778
18,AGX,Agatti Island Airport,India,Agatti Island,10.828967,72.179874
19,AHB,Abha,Saudi Arabia,Abha,18.23429,42.657575
20,AHJ,Hongyuan Airport,China,Hongyuan,32.527401,102.357396
21,AIP,Adampur Airport,India,Adampur,31.433056,75.760556
22,AJF,Jouf,Saudi Arabia,Jouf,29.788668,40.101486
23,AJI,Agri,Turkiye,Agri,39.65,43.025
24,AJK,Arak Airport,Iran,Arak,34.134875,49.842483
25,AJL,Aizawl,India,Aizawl,23.838986,92.624815
26,AKA,Ankang Airport,China,Ankang,32.7091,108.936
27,AKJ,Asahikawa,Japan,Asahikawa,43.671091,142.454546
28,AKU,Aksu Airport,China,Aksu,41.259984,80.292618
29,AKX,Aktyubinsk,Kazakhstan,Aktobe,50.249336,57.211403
30,AKY,Sittwe,Myanmar,Sittwe,20.130278,92.880278
31,ALA,Almaty International Airport,Kazakhstan,Almaty,43.35136,77.037091
32,ALP,Aleppo International,Syrian Arab Republic,Aleppo,36.185351,37.227073
33,AMD,Ahmedabad Airport,India,Ahmedabad,23.066389,72.624167
34,AMM,Queen Alia International,Jordan,Amman,31.722535,35.989318
35,AMQ,Pattimura,Indonesia,Ambon,-3.704996,128.088876
36,AOG,Anshan Teng'ao Airport,China,Anshan,41.105975,122.853926
37,AOJ,Aomori,Japan,Aomori,40.738757,140.689224
38,AOR,Sultan Abdul Halim,Malaysia,Alor Setar,6.191186,100.396629
39,AQG,Anqing Airport,China,Anqing,30.5825,117.0509
40,AQI,Qaisumah,Saudi Arabia,Qaisumah,28.334408,46.121316
41,AQJ,Aqaba,Jordan,Aqaba,29.610074,35.021511
42,ARD,Alor Island,Indonesia,Alor Island,-8.132639,124.598106
43,ASB,Ashgabat,Turkmenistan,Ashgabat,37.984183,58.366978
44,ASJ,Amami O Shima,Japan,Amami O Shima,28.431522,129.707933
45,ASR,Erkilet,Turkiye,Kayseri,38.770293,35.494891
46,ATQ,Amritsar,India,Amritsar,31.705398,74.806739
47,AUH,Zayed International Airport,United Arab Emirates,Abu Dhabi,24.426912,54.645974
48,AVA,An Shun/Huang Guo Shu Airport,China,An Shun,26.260049,105.872814
49,AWZ,Ahwaz,Iran,Ahwaz,31.342921,48.746682
50,AXF,Alxa Left Banner Airport,China,Alxa Left Banner,38.823318,105.630964
51,AXJ,Amakusa Airport,Japan,Amakusa,32.483262,130.155645
52,AXT,Akita,Japan,Akita,39.611771,140.220147
53,AYT,Antalya Airport,Turkiye,Antalya,36.899282,30.801349
54,AZD,Yazd Shahid Sadooghi,Iran,Yazd,31.903602,54.283264
55,AZH,Azamgarh Airport,India,Azamgarh,26.153333,83.118333
56,BAH,Bahrain International Airport,Bahrain,Bahrain,26.269181,50.62605
57,BAL,Batman,Turkiye,Batman,37.916667,41.083333
58,BAR,Qionghai Bo'ao Airport,China,Qionghai,19.139421,110.456806
59,BAV,Baotou Airport,China,Baotou,40.563442,109.998495
60,BBI,Bhubaneshwar,India,Bhubaneswar,20.252853,85.817385
61,BBN,Bario Airport,Malaysia,Bario,3.683333,115.466667
62,BCD,Silay International Airport,Philippines,Bacolod,10.7764,123.014999
63,BDH,Bandar Lengeh,Iran,Bandar Lengeh,26.529485,54.829146
64,BDJ,Syamsudin Noor,Indonesia,Banjarmasin,-3.43804,114.754253
65,BDP,Bhadrapur,Nepal,Bhadrapur,26.533333,88.083333
66,BDQ,Vadodara,India,Vadodara,22.329077,73.215701
67,BEJ,Berau,Indonesia,Berau,2.155327,117.433488
68,BEK,Bareilly Airport,India,Bareilly,28.423379,79.447575
69,BEY,Beirut International Airport,Lebanon,Beirut,33.826073,35.493082
70,BFJ,Bijie Airport,China,Bijie,27.26672,105.47096
71,BFV,Buri Ram,Thailand,Buri Ram,15.226944,103.255278
72,BGW,Baghdad International Airport,Iraq,Baghdad,33.255879,44.232069
73,BHH,Bisha,Saudi Arabia,Bisha,19.994509,42.618485
74,BHJ,Bhuj,India,Bhuj,23.2875,69.670556
75,BHK,Bukhara,Uzbekistan,Bukhara,39.760369,64.474792
76,BHO,Bhopal,India,Bhopal,23.290623,77.335531
77,BHR,Bharatpur Airport,Nepal,Bharatpur,27.676389,84.4325
78,BHU,Bhavnagar,India,Bhavnagar,21.755,72.184444
79,BHY,Beihai Airport,China,Beihai,21.5431,109.288702
80,BIK,Frans Kaisiepo,Indonesia,Biak,-1.189503,136.107301
81,BIR,Biratnagar,Nepal,Biratnagar,26.483439,87.266187
82,BJB,Bojnord,Iran,Bojnord,37.489719,57.308849
83,BJV,Bodrum - Milas,Turkiye,Bodrum,37.243952,27.672781
84,BJW,Bajawa Soa Airport,Indonesia,Bajawa,-8.813029,120.998515
85,BKB,Nal Airport,India,Bikaner,28.070601,73.207199
86,BKI,Kota Kinabalu International,Malaysia,Kota Kinabalu,5.923961,116.050753
87,BKK,Suvarnabhumi Airport,Thailand,Bangkok,13.693062,100.752044
88,BKM,Bakalalan Airport,Malaysia,Bakalalan,3.966667,115.616667
89,BKS,Padang Kemiling,Indonesia,Bengkulu,-3.860561,102.338273
90,BLR,Kempegowda International Airport,India,Bengaluru,13.200771,77.710228
91,BMO,Banmaw Airport,Myanmar,Bhamo,24.268355,97.249057
92,BMU,Muhammad Salahuddin,Indonesia,Bima,-8.542521,118.691765
93,BMV,Banmethuot,Viet Nam,Buon Ma Thout,12.666667,108.05
94,BND,Bandar Abbas,Iran,Bandar Abbas,27.21059,56.368384
95,BOM,Chhatrapati Shivaji Maharaj International Airport,India,Mumbai,19.089891,72.868047
96,BPE,Qinhuangdao Beidaihe Airport,China,Qinhuangdao,39.665743,119.059748
97,BPL,Bole Alashankou Airport,China,Bole,44.895,82.299722
98,BPN,Sepinggan,Indonesia,Balikpapan,-1.260623,116.900817
99,BPR,Borongan Airport,Philippines,Borongan,11.6743001938,125.478996277
100,BPX,Bangda,China,Bangda,30.555833,97.106667
101,BSD,Baoshan,China,Baoshan,25.055181,99.161427
102,BSO,Basco Airport,Philippines,Basco,20.453056,121.977778
103,BSR,Basrah International,Iraq,Basra,30.552695,47.666865
104,BTH,Hang Nadim,Indonesia,Batam,1.123627,104.115279
105,BTJ,Sultan Iskandarmuda,Indonesia,Banda Aceh,5.518021,95.418329
106,BTU,Bintulu,Malaysia,Bintulu,3.123505,113.023112
107,BTW,Batulicin Airport,Indonesia,Batulicin,-3.41194,116.000082
108,BUP,Bathinda Airport,India,Bathinda,30.270092,74.755809
109,BUS,Batumi,Georgia,Batumi,41.610833,41.600556
110,BUT,Bathpalathang Airport,Bhutan,Jakar,27.562955,90.746101
111,BUU,Muara Bungo Airport,Indonesia,Muara Bungo,-1.540169,102.179283
112,BUW,Baubau Airport,Indonesia,Baubau,-5.48688,122.569
113,BUZ,Bushehr,Iran,Bushehr,28.958285,50.825425
114,BWA,Bhairahawa,Nepal,Bhairawa,27.504167,83.42
115,BWN,Brunei International,Brunei Darussalam,Bandar Seri Begawan,4.945197,114.93375
116,BWX,Blimbingsari Airport,Indonesia,Banyuwangi,-8.310229,114.340461
117,BXR,Bam Airport,Iran,Bam,29.080082,58.449356
118,BXU,Butuan,Philippines,Butuan,8.947999,125.481228
119,BZL,Barisal Airport,Bangladesh,Barisal,22.798942,90.301446
120,BZX,Enyang Airport,China,Bazhong,31.738056,106.643889
121,CAH,Ca Mau,Viet Nam,Ca Mau,9.175556,105.179444
122,CAN,Guangzhou Baiyun International Airport,China,Guangzhou,23.387862,113.29734
123,CBO,Cotabato,Philippines,Cotabato,7.161412,124.214639
124,CCJ,Calicut,India,Kozhikode,11.138782,75.949976
125,CCU,Kolkata Netaji Subhas Chandra Bose Intl Airport,India,Kolkata,22.655,88.447
126,CDE,Puning Airport,China,Chengde,41.123079,118.07135
127,CDP,Cuddapah,India,Kadapa,14.514583,78.76478
128,CEB,Mactan–Cebu International,Philippines,Cebu City,10.313333,123.982778
129,CEI,Chiang Rai Intl,Thailand,Chiang Rai,19.954608,99.878811
130,CGD,Changde Airport,China,Changde,28.924467,111.638863
131,CGK,Soekarno Hatta International,Indonesia,Jakarta,-6.130643,106.655526
132,CGM,Camiguin Airport,Philippines,Mambajao,9.253611,124.706944
133,CGO,Zhengzhou Xinzheng International Airport,China,Zhengzhou,34.527519,113.840242
134,CGP,Shah Amanat International,Bangladesh,Chittagong,22.245202,91.815159
135,CGQ,Changchun Longjia International Airport,China,Changchun,43.99611,125.68528
136,CGY,Cagayan De Oro,Philippines,Cagayan De Oro,8.6125,124.457222
137,CIF,Chifeng Airport,China,Chifeng,42.154523,118.833173
138,CIH,Changzhi Airport,China,Changzhi,36.245881,113.121585
139,CIT,Shymkent,Kazakhstan,Shymkent,42.364842,69.492845
140,CJB,Coimbatore,India,Coimbatore,11.031026,77.038931
141,CJJ,Cheongju International Airport,Republic of Korea,Cheongju,36.7224,127.495087
142,CJL,Chitral Airport,Pakistan,Chitral,35.886111,71.794444
143,CJM,Chumphon,Thailand,Chumphon,10.711122,99.361376
144,CJU,Jeju International,Republic of Korea,Jeju,33.506698,126.493119
145,CKG,Chongqing Jiangbei International Airport,China,Chongqing,29.7192,106.641998
146,CKZ,Canakkale Airport,Turkiye,Canakkale,40.137422,26.426943
147,CMB,Bandaranaike International,Sri Lanka,Colombo,7.174112,79.886494
148,CNN,Kannur International Airport,India,Kannur,11.920073,75.549919
149,CNX,Chiang Mai Intl,Thailand,Chiang Mai,18.769574,98.968409
150,COH,Cooch Behar Airport,India,Cooch Behar,26.333333,89.466667
151,COK,Cochin,India,Kochi,10.155644,76.390537
152,CQD,Shahre Kord Airport,Iran,Shahre Kord,32.297199,50.842201
153,CQW,Chongqing Xiannvshan Airport,China,Wulong,29.4642,107.6933
154,CRK,Diosdado Macapagal International,Philippines,Angeles,15.187696,120.549789
155,CRM,Catarman National Airport,Philippines,Catarman,12.502492,124.63591
156,CRZ,Turkmenabat,Turkmenistan,Chardzhev,39.09258,63.601198
157,CSX,Changsha Huanghua Airport,China,Changsha,28.193336,113.214592
158,CTS,Sapporo,Japan,Sapporo,42.787281,141.681341
159,CTU,Chengdu Shuangliu International Airport,China,Chengdu,30.581134,103.956799
160,CWJ,Cangyuan Washan Airport,China,Cangyuan,23.274856,99.371301
161,CWK,Chitrakoot Airport,India,Chitrakoot,25.167694,80.9358
162,CXB,Coxs Bazar,Bangladesh,Coxs Bazar,21.45,91.966667
163,CXR,Cam Ranh Airport,Viet Nam,Nha Trang,12.006816,109.21695
164,CYI,Chiayi,Taiwan,Chiayi,23.454241,120.398265
165,CYP,Calbayog Airport,Philippines,Calbayog,12.075833,124.543056
166,CYZ,Cauayan Airport,Philippines,Cauayan,16.93,121.755833
167,CZX,Changzhou,China,Changzhou,31.914116,119.779762
168,DAC,Zia International,Bangladesh,Dhaka,23.848649,90.405874
169,DAD,Da Nang,Viet Nam,Da Nang,16.053339,108.202753
170,DAM,Damascus International,Syrian Arab Republic,Damascus,33.411171,36.512488
171,DAT,Datong Airport,China,Datong,40.05554,113.481362
172,DBB,Al Alamain International Airport,Egypt,Dabaa,30.924444,28.461389
173,DBC,Baicheng Chang'an Airport,China,Baicheng,45.505011,123.018851
174,DBR,Darbhanga Airport,India,Darbhanga,26.1933,85.9114
175,DCY,Daocheng Yading Airport,China,Daocheng,29.323056,100.053333
176,DDD,Dhaalu Atoll Airport,Maldives,Kudahuvadhoo,2.666093,72.886139
177,DDG,Dandong,China,Dandong,40.024701,124.286009
178,DED,Dehradun,India,Dehra Dun,30.316667,78.033333
179,DEF,Dezful Airport,Iran,Dezful,32.438827,48.384683
180,DEL,Indira Gandhi International Airport,India,Delhi,28.556162,77.099958
181,DEX,Nop Goliath Airport,Indonesia,Yahukimo,-4.8557,139.482
182,DGH,Deoghar International Airport,India,Deoghar,24.446842,86.704955
183,DGT,Dumaguete,Philippines,Dumaguete,9.332543,123.296011
184,DHI,Dhangarhi Airport,Nepal,Dhangarhi,28.7533,80.581902
185,DHM,Gaggal Airport,India,Dharamsala,32.165481,76.260688
186,DIB,Dibrugarh Airport,India,Dibrugarh,27.483222,95.016474
187,DIG,Diqing Shangri-La Airport,China,Diqing,27.795839,99.680584
188,DIN,Dien Bien Phu,Viet Nam,Dien Bien Phu,21.383333,103.0
189,DIU,Diu Airport,India,Diu,20.716667,70.916667
190,DIY,Diyarbakir,Turkiye,Diyarbakir,37.910803,40.197356
191,DJB,Sultan Thaha,Indonesia,Jambi,-1.631628,103.638826
192,DJJ,Sentani,Indonesia,Jayapura,-2.569887,140.51299
193,DLC,Dalian Zhoushuizi International Airport,China,Dalian,38.96102,121.539991
194,DLI,Dalat,Viet Nam,Dalat,11.749689,108.376033
195,DLM,Dalaman,Turkiye,Dalaman,36.717336,28.787155
196,DLU,Dali,China,Dali City,25.65135,100.323158
197,DLZ,Gurvan Saikhan Airport,Mongolia,Dalanzadgad,43.606001,104.370329
198,DMB,Taraz,Kazakhstan,Taraz,42.855372,71.304595
199,DMK,Don Mueang International Airport,Thailand,Bangkok,13.9125,100.606667
200,DMM,King Fahd International,Saudi Arabia,Dammam,26.471111,49.797778
201,DMU,Dimapur,India,Dimapur,25.879816,93.772866
202,DNH,Dunhuang Airport,China,Dunhuang,40.2,94.683333
203,DNZ,Cardak,Turkiye,Denizli,37.787222,29.703333
204,DOB,Dobo,Indonesia,Dobo,-5.77376,134.209426
205,DOH,Hamad International Airport,Qatar,Doha,25.260988,51.613594
206,DOY,Dongying Airport,China,Dongying,37.518333,118.787778
207,DPL,Dipolog,Philippines,Dipolog,8.599978,123.344179
208,DPS,Bali International,Indonesia,Denpasar,-8.748056,115.1675
209,DQA,Daqing Shi Airport,China,Daqing,46.746985,125.133991
210,DQM,Duqm International Airport,Oman,Duqm,19.502323,57.6383
211,DRV,Dharavandhoo AIrport,Maldives,Dharavandhoo Island,5.156111,73.13028
212,DSN,Dongsheng,China,Dongsheng,39.496721,109.860527
213,DTB,Silangit Airport,Indonesia,Siborong-Borong,2.259722,98.995278
214,DTU,Dedu Airport,China,Wudalianchi,48.440556,126.127778
215,DVO,Francisco Bangoy International,Philippines,Davao,7.130696,125.644698
216,DWC,Dubai Al Maktoum,United Arab Emirates,Dubai,24.892845,55.162467
217,DWD,Dawadmi Airport,Saudi Arabia,Dawadmi,24.445546,44.128702
218,DXB,Dubai International Airport,United Arab Emirates,Dubai,25.256557,55.366071
219,DYG,Dayong Airport,China,Dayong,29.10712,110.445685
220,DYU,Dushanbe,Tajikistan,Dushanbe,38.54894,68.817287
221,DZH,Dazhou Jinya Airport,China,Dazhou,31.048611,107.435556
222,DZN,Zhezkazgan Airport,Kazakhstan,Zhezkazgan,47.7,67.733333
223,EAM,Nejran Airport,Saudi Arabia,Nejran,17.613282,44.414646
224,EBL,Erbil Intl,Iraq,Erbil,36.2375,43.963056
225,ECN,Ercan International Airport,Cyprus,Ercan,35.158118,33.50307
226,EDO,Edremit,Turkiye,Edremit,39.549267,27.011319
227,EHU,Ezhou Huahu Airport,China,Ezhou,30.3427,115.0297
228,ELQ,Gassim,Saudi Arabia,Gassim,26.305029,43.768178
229,ENE,H Hasan Aroeboesman,Indonesia,Ende,-8.848239,121.664653
230,ENH,Enshi Airport,China,Enshi,30.321934,109.482012
231,ENI,El Nido Airport,Philippines,El Nido,11.203469,119.413979
232,ENY,Nanniwan Airport,China,Yan'an,36.479722,109.463889
233,ERC,Erzincan,Turkiye,Erzincan,39.711667,39.516944
234,ERL,Eren Hot Airport,China,Eren Hot,43.426673,112.09845
235,ERZ,Erzurum,Turkiye,Erzurum,39.961346,41.179378
236,ESB,Ankara Esenboğa Airport,Turkiye,Ankara,40.114941,32.993145
237,EUQ,Evelio Javier  Airport,Philippines,Antique,10.767873,121.932971
238,EVN,Zvartnots International Airport,Armenia,Yerevan,40.15272,44.39805
239,EWE,Ewer,Indonesia,Ewer,-5.483333,138.083333
240,EZS,Elazig,Turkiye,Elazig,38.599326,39.26829
241,FEG,Fergana Airport,Uzbekistan,Fergana,40.350278,71.733611
242,FJR,Fujairah International Airport,United Arab Emirates,Al-Fujairah,25.109444,56.330556
243,FKQ,Fak Fak,Indonesia,Fak Fak,-2.916667,132.3
244,FKS,Fukushima,Japan,Fukushima,37.226667,140.432778
245,FLZ,Ferdinand Lumban Tobing Airport,Indonesia,Sibolga,1.555833,98.888889
246,FNJ,Pyongyang / Sunan (Capital) Airport,Democratic People's Republic of Korea,Pyongyang,39.200649,125.675368
247,FOC,Fuzhou Changle International Airport,China,Fuzhou,25.931231,119.66923
248,FRU,Manas,Kyrgyzstan,Bishkek,43.053581,74.469449
249,FSZ,Shizuoka Airport,Japan,Shizuoka,34.796111,138.189444
250,FUG,Fuyang Airport,China,Fuyang,32.866667,115.7
251,FUJ,Fukue,Japan,Fukue,32.667826,128.837611
252,FUK,Fukuoka,Japan,Fukuoka,33.584286,130.443891
253,FUO,Foshan,China,Fuoshan,23.081156,113.071443
254,FYJ,Fuyuan Airport,China,Fuyuan County,48.19722,134.36333
255,FYN,Fuyun Koktokay Airport,China,Fuyun,46.801111,89.538333
256,GAJ,Yamagata Airport,Japan,Yamagata,38.411944,140.371111
257,GAN,Gan Island,Maldives,Gan Island,-0.690003,73.156538
258,GAU,Lokpriya Gopinath Bordoloi International Airport,India,Guwahati,26.105185,91.588427
259,GAY,Gaya,India,Gaya,24.746667,84.945833
260,GBI,Kalaburagi Airport,India,Gulbarga,17.307642,76.956805
261,GBT,Gorgan Airport,Iran,Gorgon,36.908509,54.410516
262,GCH,Gachsaran Airport,Iran,Gachsaran,30.3364,50.831656
263,GDB,Birsi Airport,India,Gondia,21.5227,80.2905
264,GES,General Santos International Airport,Philippines,General Santos City,6.057778,125.095833
265,GHS,Melalan Airport,Indonesia,West Kutai,-0.203889,115.759722
266,GIL,Gilgit,Pakistan,Gilgit,35.919721,74.33224
267,GIZ,Jazan,Saudi Arabia,Jazan,16.898949,42.582344
268,GKK,Kooddoo Island Airport,Maldives,Kooddoo Island,0.730833,73.43305
269,GLU,Gelephu Airport,Bhutan,Gelephu,26.883481,90.465966
270,GMP,Gimpo,Republic of Korea,Seoul,37.559287,126.803512
271,GMQ,Golog Maqin Airport,China,Golog,34.415833,100.311111
272,GNJ,Ganja Airport,Azerbaijan,Gyandzha,40.733333,46.316667
273,GNS,Gunungsitoli Airport,Indonesia,Gunungsitoli,1.25,97.5
274,GOI,Goa,India,Goa,15.384534,73.839825
275,GOP,Gorakhpur Airport,India,Gorakhpur,26.746862,83.443762
276,GOQ,Golmud,China,Golmud,36.404633,94.789305
277,GOX,Mopa Airport,India,Goa,15.73139,73.86778
278,GOY,Tura Airport,Russia,Tura,64.333333,100.433333
279,GSM,Dayrestan Airport,Iran,Qeshm Island,26.757778,55.905278
280,GTO,Jalaluddin,Indonesia,Gorontalo,0.639039,122.850876
281,GUW,Atyrau,Kazakhstan,Atyrau,47.122815,51.829554
282,GWD,Gwadar,Pakistan,Gwadar,25.230556,62.338889
283,GWL,Gwalior,India,Gwalior,26.293889,78.23
284,GXF,Seiyun,Republic of Yemen,Seiyun,15.961794,48.787085
285,GXH,Gannan Xiahe Airport,China,Xiahe,34.810556,102.644722
286,GYD,Heydar Aliyev International Airport,Azerbaijan,Baku,40.462487,50.05039
287,GYS,Guangyuan Airport,China,Guangyuan,32.390572,105.695681
288,GYU,Guyuan Liupanshan Airport,China,Guyuan,36.078889,106.216944
289,GZG,Ganzi Airport,China,Ganzi,31.755835,99.556669
290,GZP,Gazipasa Airport,Turkiye,Gazipasa,36.2993,32.3014
291,GZT,Oguzeli,Turkiye,Gaziantep,36.947182,37.478682
292,HAC,Hachijo Jima Airport,Japan,Hachijo Jima,33.117945,139.781226
293,HAK,Haikou Meilan International Airport,China,Haikou,19.934877,110.45896
294,HAN,Noibai International,Viet Nam,Hanoi,21.214184,105.802827
295,HAS,Hail,Saudi Arabia,Hail,27.438158,41.690483
296,HBQ,Haibei Airport,China,Qilian,38.008333,100.640833
297,HBX,Hubli Airport,India,Hubli,15.359573,75.086305
298,HCJ,Hechi Jinchengjiang Airport,China,Hechi,24.783889,107.699722
299,HCZ,Beihu Airport,China,Chenzhou,25.75333,112.84444
300,HDG,Handan Airport,China,Handan,36.525833,114.425
301,HDM,Hamadan Airport,Iran,Hamadan,34.867146,48.537318
302,HDY,Hat Yai International,Thailand,Hat Yai,6.936764,100.393566
303,HEA,Herat,Afghanistan,Herat,34.212696,62.22599
304,HEH,Heho,Myanmar,Heho,20.743863,96.79341
305,HEK,Heihe Airport,China,Heihe,50.171662,127.308905
306,HET,Hohhot Baita International Airport,China,Hohhot,40.854712,111.814157
307,HFE,Hefei Xinqiao Airport,China,Hefei,31.992778,116.973333
308,HGH,Hangzhou Xiaoshan International Airport,China,Hangzhou,30.236934,120.432356
309,HGN,Mae Hong Son,Thailand,Mae Hong Son,19.29968,97.975227
310,HHP,Sheung Wan Heliport,Hong Kong SAR,Hong Kong,22.288896,114.152237
311,HHQ,Hua Hin Airport,Thailand,Hua Hin,12.636229,99.951533
312,HIA,Huai'an Lianshui Airport,China,Huai'an,33.7875,119.12778
313,HIJ,Hiroshima,Japan,Hiroshima,34.436111,132.919444
314,HIN,Jinju,Republic of Korea,Jinju,35.092629,128.086765
315,HJJ,Zhijiang Airport,China,Huaihua,27.441389,109.699722
316,HJR,Khajuraho,India,Khajuraho,24.818746,79.916417
317,HKD,Hakodate,Japan,Hakodate,41.776125,140.815817
318,HKG,Hong Kong International Airport,Hong Kong SAR,Hong Kong,22.315248,113.93649
319,HKT,Phuket International Airport,Thailand,Phuket,8.107619,98.306436
320,HLD,Dongshan,China,Hailar,49.209906,119.818129
321,HLH,Ulanhot Airport,China,Ulanhot,46.193488,122.001482
322,HLP,Halim Perdanakusuma International,Indonesia,Jakarta,-6.268056,106.890278
323,HMI,Hami Airport,China,Hami,42.916667,93.416667
324,HNA,Hanamaki,Japan,Hanamaki,39.426926,141.130767
325,HND,Haneda Airport,Japan,Tokyo,35.553476,139.781206
326,HNY,Hengyang Nanyue Airport,China,Hengyang,26.723889,112.618333
327,HOF,Hofuf,Saudi Arabia,Hofuf,25.294783,49.487462
328,HOX,Homalin Airport,Myanmar,Homalin,24.898928,94.914636
329,HPG,Shennongjia Airport,China,Hongping,31.63333,110.33778
330,HPH,Cat Bi International Airport,Viet Nam,Haiphong,20.823314,106.727325
331,HRB,Taiping Airport,China,Harbin,45.620854,126.23644
332,HRH,Aligarh Airport,India,Aligarh,27.8592,78.1487
333,HSA,Turkistan International Airport,Kazakhstan,Turkistan,43.31111,68.550278
334,HSC,Shaoguan Airport,China,Shaoguan,24.833333,113.616667
335,HSG,Saga Airport,Japan,Saga,33.153828,130.302775
336,HSN,Zhoushan,China,Zhoushan,29.935258,122.356914
