,Num_Routes,iata,name,country,city_name,latitude,longitude
0,21,ACX,Xingyi Airport,China,Xingyi,25.085556,104.959444
1,25,ADB,İzmir Adnan Menderes Airport,Turkiye,Izmir,38.294403,27.147594
2,21,AKU,Aksu Airport,China,Aksu,41.259984,80.292618
3,52,ALA,Almaty International Airport,Kazakhstan,Almaty,43.35136,77.037091
4,48,AMD,Ahmedabad Airport,India,Ahmedabad,23.066389,72.624167
5,30,AMM,Queen Alia International,Jordan,Amman,31.722535,35.989318
6,79,AUH,Zayed International Airport,United Arab Emirates,Abu Dhabi,24.426912,54.645974
7,32,AYT,Antalya Airport,Turkiye,Antalya,36.899282,30.801349
8,46,BAH,Bahrain International Airport,Bahrain,Bahrain,26.269181,50.62605
9,28,BAV,Baotou Airport,China,Baotou,40.563442,109.998495
10,23,BBI,Bhubaneshwar,India,Bhubaneswar,20.252853,85.817385
11,28,BEY,Beirut International Airport,Lebanon,Beirut,33.826073,35.493082
12,34,BGW,Baghdad International Airport,Iraq,Baghdad,33.255879,44.232069
13,40,BKI,Kota Kinabalu International,Malaysia,Kota Kinabalu,5.923961,116.050753
14,114,BKK,Suvarnabhumi Airport,Thailand,Bangkok,13.693062,100.752044
15,90,BLR,Kempegowda International Airport,India,Bengaluru,13.200771,77.710228
16,95,BOM,Chhatrapati Shivaji Maharaj International Airport,India,Mumbai,19.089891,72.868047
17,23,BPN,Sepinggan,Indonesia,Balikpapan,-1.260623,116.900817
18,169,CAN,Guangzhou Baiyun International Airport,China,Guangzhou,23.387862,113.29734
19,64,CCU,Kolkata Netaji Subhas Chandra Bose Intl Airport,India,Kolkata,22.655,88.447
20,36,CEB,Mactan–Cebu International,Philippines,Cebu City,10.313333,123.982778
21,83,CGK,Soekarno Hatta International,Indonesia,Jakarta,-6.130643,106.655526
22,97,CGO,Zhengzhou Xinzheng International Airport,China,Zhengzhou,34.527519,113.840242
23,64,CGQ,Changchun Longjia International Airport,China,Changchun,43.99611,125.68528
24,26,CIF,Chifeng Airport,China,Chifeng,42.154523,118.833173
25,37,CJU,Jeju International,Republic of Korea,Jeju,33.506698,126.493119
26,142,CKG,Chongqing Jiangbei International Airport,China,Chongqing,29.7192,106.641998
27,41,CMB,Bandaranaike International,Sri Lanka,Colombo,7.174112,79.886494
28,28,CNX,Chiang Mai Intl,Thailand,Chiang Mai,18.769574,98.968409
29,32,COK,Cochin,India,Kochi,10.155644,76.390537
30,21,CRK,Diosdado Macapagal International,Philippines,Angeles,15.187696,120.549789
31,96,CSX,Changsha Huanghua Airport,China,Changsha,28.193336,113.214592
32,42,CTS,Sapporo,Japan,Sapporo,42.787281,141.681341
33,78,CTU,Chengdu Shuangliu International Airport,China,Chengdu,30.581134,103.956799
34,39,CZX,Changzhou,China,Changzhou,31.914116,119.779762
35,37,DAC,Zia International,Bangladesh,Dhaka,23.848649,90.405874
36,23,DAD,Da Nang,Viet Nam,Da Nang,16.053339,108.202753
37,112,DEL,Indira Gandhi International Airport,India,Delhi,28.556162,77.099958
38,98,DLC,Dalian Zhoushuizi International Airport,China,Dalian,38.96102,121.539991
39,25,DLU,Dali,China,Dali City,25.65135,100.323158
40,95,DMK,Don Mueang International Airport,Thailand,Bangkok,13.9125,100.606667
41,47,DMM,King Fahd International,Saudi Arabia,Dammam,26.471111,49.797778
42,95,DOH,Hamad International Airport,Qatar,Doha,25.260988,51.613594
43,46,DPS,Bali International,Indonesia,Denpasar,-8.748056,115.1675
44,52,DSN,Dongsheng,China,Dongsheng,39.496721,109.860527
45,136,DXB,Dubai International Airport,United Arab Emirates,Dubai,25.256557,55.366071
46,39,DYG,Dayong Airport,China,Dayong,29.10712,110.445685
47,28,DZH,Dazhou Jinya Airport,China,Dazhou,31.048611,107.435556
48,21,ENH,Enshi Airport,China,Enshi,30.321934,109.482012
49,43,ESB,Ankara Esenboğa Airport,Turkiye,Ankara,40.114941,32.993145
50,81,FOC,Fuzhou Changle International Airport,China,Fuzhou,25.931231,119.66923
51,23,FRU,Manas,Kyrgyzstan,Bishkek,43.053581,74.469449
52,30,FUG,Fuyang Airport,China,Fuyang,32.866667,115.7
53,43,FUK,Fukuoka,Japan,Fukuoka,33.584286,130.443891
54,25,GAU,Lokpriya Gopinath Bordoloi International Airport,India,Guwahati,26.105185,91.588427
55,21,GOX,Mopa Airport,India,Goa,15.73139,73.86778
56,37,GYD,Heydar Aliyev International Airport,Azerbaijan,Baku,40.462487,50.05039
57,115,HAK,Haikou Meilan International Airport,China,Haikou,19.934877,110.45896
58,60,HAN,Noibai International,Viet Nam,Hanoi,21.214184,105.802827
59,76,HET,Hohhot Baita International Airport,China,Hohhot,40.854712,111.814157
60,67,HFE,Hefei Xinqiao Airport,China,Hefei,31.992778,116.973333
61,121,HGH,Hangzhou Xiaoshan International Airport,China,Hangzhou,30.236934,120.432356
62,30,HIA,Huai'an Lianshui Airport,China,Huai'an,33.7875,119.12778
63,100,HKG,Hong Kong International Airport,Hong Kong SAR,Hong Kong,22.315248,113.93649
64,49,HKT,Phuket International Airport,Thailand,Phuket,8.107619,98.306436
65,30,HLD,Dongshan,China,Hailar,49.209906,119.818129
66,76,HND,Haneda Airport,Japan,Tokyo,35.553476,139.781206
67,26,HNY,Hengyang Nanyue Airport,China,Hengyang,26.723889,112.618333
68,85,HRB,Taiping Airport,China,Harbin,45.620854,126.23644
69,25,HSN,Zhoushan,China,Zhoushan,29.935258,122.356914
70,22,HUZ,Huizhou,China,Huizhou,23.050418,114.596859
71,82,HYD,Rajiv Gandhi International Airport,India,Hyderabad,17.233702,78.430427
72,24,HYN,Luqiao Airport,China,Taizhou,28.562224,121.428614
73,114,ICN,Incheon International Airport,Republic of Korea,Seoul,37.458764,126.441961
74,23,IDR,Devi Ahilyabai Holkar,India,Indore,22.72715,75.808227
75,41,IKA,Imam Khomeini,Iran,Tehran,35.408632,51.1548
76,63,INC,Yinchuan Hedong International Airport,China,Yinchuan,38.323031,106.388059
77,32,ISB,Islamabad International Airport,Pakistan,Islamabad,33.548333,72.825
78,113,IST,Istanbul Airport,Turkiye,Istanbul,41.260278,28.741944
79,28,ITM,Osaka,Japan,Osaka,34.790975,135.441719
80,27,JAI,Jaipur,India,Jaipur,26.822004,75.800995
81,96,JED,King Abdulaziz International Airport,Saudi Arabia,Jeddah,21.670232,39.150579
82,28,JGS,Jinggangshan Airport,China,Ji'An,26.856899,114.737
83,43,JHG,Xishuangbanna Gasa International Airport,China,Jinghong,21.973422,100.766454
84,60,JJN,Quanzhou Airport,China,Jinjiang,24.802809,118.587293
85,30,JNG,Jining Da'an Airport,China,Jining,35.646944,116.742222
86,21,JUZ,Quzhou Airport,China,"Quzhou, Zhejiang Province",28.966667,118.833333
87,30,KHG,Kashi,China,Kashi,39.53689,76.010387
88,31,KHH,Kaohsiung International,Taiwan,Kaohsiung,22.5725,120.345278
89,32,KHI,Jinnah International,Pakistan,Karachi,24.899986,67.16828
90,65,KHN,Nanchang Airport,China,Nanchang,28.859902,115.907845
91,61,KIX,Kansai International Airport,Japan,Osaka,34.43533,135.243977
92,145,KMG,Kunming Changshui International Airport,China,Kunming,25.101944,102.929167
93,23,KNO,Knokke,Indonesia,Kuala Namu,3.635369,98.879016
94,21,KOJ,Kagoshima Airport,Japan,Kagoshima,31.801224,130.715616
95,22,KOW,Ganzhou Airport,China,Ganzhou,25.849628,114.777786
96,28,KRL,Korla Airport,China,Korla,41.616399,86.143123
97,42,KTM,Tribhuvan International,Nepal,Kathmandu,27.699906,85.35657
98,126,KUL,Kuala Lumpur International Airport,Malaysia,Kuala Lumpur,2.744344,101.717259
99,91,KWE,Guiyang Longdongbao International Airport,China,Guiyang,26.544217,106.79598
100,63,KWI,Kuwait International,Kuwait,Kuwait,29.240116,47.971251
101,46,KWL,Guilin Liangjiang International Airport,China,Guilin,25.217585,110.046839
102,25,LHE,Allama Iqbal International,Pakistan,Lahore,31.520833,74.402778
103,82,LHW,Lanzhou Zhongchuan International Airport,China,Lanzhou,36.509497,103.61756
104,56,LJG,Lijiang Sanyi Airport,China,Lijiang,26.679975,100.245768
105,37,LKO,Lucknow,India,Lucknow,26.764257,80.884186
106,31,LXA,Lhasa Airport,China,Lhasa/Lasa,29.2978,90.911903
107,21,LYA,Luoyang Airport,China,Luoyang,34.736361,112.385406
108,29,LYG,Lianyungang Airport,China,Lianyungang,34.565938,118.876986
109,34,LYI,Linyi Airport,China,Linyi,35.047477,118.407068
110,37,LZO,Yunlong Airport,China,Luzhou,29.030556,105.46889
111,62,MAA,Chennai International,India,Chennai,12.982267,80.163782
112,57,MCT,Seeb International,Oman,Muscat,23.600739,58.284042
113,32,MED,Madinah,Saudi Arabia,Madinah,24.544369,39.698966
114,41,MFM,Macau International,Macau SAR,Macau,22.156587,113.57285
115,41,MHD,Mashhad,Iran,Mashad,36.235207,59.640996
116,29,MIG,Mianyang Airport,China,Mian Yang,31.427633,104.747139
117,31,MLE,Male International Airport,Maldives,Male,4.19183,73.529108
118,79,MNL,Ninoy Aquino International,Philippines,Manila,14.511205,121.019208
119,78,NGB,Ningbo Lishe International Airport,China,Ningbo,29.826696,121.462002
120,44,NGO,Nagoya,Japan,Nagoya,34.858333,136.805278
121,93,NKG,Lu Kou Airport,China,Nanjing,31.735737,118.86652
122,76,NNG,Nanning Wuxu International Airport,China,Nanning,22.61321,108.167501
123,32,NQZ,Nursultan Nazarbayev,Kazakhstan,Astana,51.027811,71.461199
124,79,NRT,Narita International Airport,Japan,Tokyo,35.773213,140.387443
125,38,NTG,Nantong Airport,China,Nantong,32.072921,120.975605
126,42,OKA,Okinawa,Japan,Okinawa,26.204954,127.645842
127,160,PEK,Beijing Capital International Airport,China,Beijing,40.078538,116.587095
128,26,PEN,Penang International,Malaysia,Penang,5.292961,100.265173
129,153,PKX,Daxing International Airport,China,Beijing,39.508611,116.410833
130,32,PNH,Phnom Penh,Cambodia,Phnom Penh,11.552193,104.846174
131,35,PNQ,Pune,India,Pune,18.581389,73.920556
132,40,PUS,Gimhae International,Republic of Korea,Busan,35.179319,128.948728
133,189,PVG,Shanghai Pudong International Airport,China,Shanghai,31.143333,121.805278
134,35,RGN,Yangon International,Myanmar,Yangon,16.900069,96.134152
135,73,RUH,King Khaled International,Saudi Arabia,Riyadh,24.959289,46.702876
136,64,SAW,Istanbul Sabiha Gökçen International Airport,Turkiye,Istanbul,40.904676,29.309188
137,74,SGN,Tansonnhat International,Viet Nam,Ho Chi Minh City,10.813045,106.662477
138,61,SHA,Hongqiao International,China,Shanghai,31.19779,121.333473
139,88,SHE,Shenyang Taoxian International Airport,China,Shenyang,41.634992,123.485731
140,81,SHJ,Sharjah International,United Arab Emirates,Sharjah,25.320873,55.52029
141,23,SHS,Shashi Airport,China,Shashi,30.321995,112.2781
142,111,SIN,Singapore Changi Airport,Singapore,Singapore,1.361173,103.990201
143,67,SJW,Shijiazhuang Daguocun International Airport,China,Shijiazhuang,38.281868,114.692106
144,32,SUB,Juanda,Indonesia,Surabaya,-7.377937,112.793782
145,61,SWA,Wai Sha Airport,China,Jieyang,23.54944,116.510277
146,74,SYX,Phoenix International,China,Sanya,18.305276,109.40888
147,143,SZX,Shenzhen Bao'an International Airport,China,Shenzhen,22.639444,113.810833
148,91,TAO,Qingdao Jiaodong International Airport,China,Qingdao,36.361944,120.088333
149,44,TAS,Islam Karimov Tashkent International Airport,Uzbekistan,Tashkent,41.257893,69.281204
150,28,TBS,Lochini,Georgia,Tbilisi,41.674063,44.958958
151,180,TFU,Tianfu International Airport,China,Chengdu,30.314195,104.44186
152,42,THR,Mehrabad International,Iran,Tehran,35.691534,51.321868
153,75,TNA,Jinan Yaoqiang International Airport,China,Jinan,36.857689,117.206881
154,70,TPE,Taoyuan International Airport,Taiwan,Taipei,25.075512,121.23248
155,21,TRV,Thiruvananthapuram International,India,Thiruvananthapuram,8.476126,76.91907
156,88,TSN,Tianjin Binhai International Airport,China,Tianjin,39.128273,117.355906
157,71,TYN,Taiyuan Wusu International Airport,China,Taiyuan,37.754996,112.62585
158,21,TZX,Trabzon,Turkiye,Trabzon,40.994191,39.781681
159,26,UBN,Chinggis Khan International Airport,Mongolia,Ulaanbaatar,47.646944,106.819722
160,31,UPG,Ujung Pandang,Indonesia,Ujung Pandang,-5.077019,119.547738
161,86,URC,Ürümqi Diwopu International Airport,China,Urumqi,43.90126,87.475148
162,32,UYN,Yulin,China,Yulin,38.361466,109.596181
163,37,VTE,Wattay International,Lao People's Democratic Republic,Vientiane,17.975432,102.567721
164,27,WEH,Weihai Airport,China,Weihai,37.188142,122.236067
165,35,WMT,Maotai Airport,China,Zunyi,27.96222,106.435
166,71,WNZ,Wenzhou Yongqiang Airport,China,Wenzhou,27.91566,120.847381
167,110,WUH,Wuhan Tianhe International Airport,China,Wuhan,30.776789,114.217577
168,47,WUX,Wuxi Airport,China,Wuxi,31.492889,120.424374
169,25,XFN,Xiangfan Airport,China,Xiangyang,32.150067,112.290691
170,160,XIY,Xi'an Xianyang International Airport,China,Xian,34.438416,108.760946
171,98,XMN,Xiamen Gaoqi International Airport,China,Xiamen,24.543064,118.134178
172,58,XNN,Xining Caojiabu Airport,China,Xining,36.527506,102.043002
173,30,XUZ,Xuzhou Guanyin Airport,China,Xuzhou,34.055033,117.554758
174,33,YBP,Yibin,China,Yibin,28.801665,104.551835
175,34,YCU,Zhangxiao,China,Yuncheng,35.114987,111.037051
176,42,YIH,Yichang Airport,China,Yichang,30.549934,111.478938
177,23,YIN,Yining Airport,China,Yining,43.951998,81.331444
178,23,YIW,Yiwu Airport,China,Yiwu,29.344562,120.028808
179,50,YNT,Penglai International Airport,China,Yantai,37.657222,120.987222
180,25,YNZ,Yancheng Airport,China,Yancheng,33.431217,120.204406
181,32,YTY,Yangzhou Taizhou Airport,China,Yangzhou,32.563057,119.720278
182,27,ZHA,Zhanjiang Airport,China,Zhanjiang,21.214727,110.362715
183,61,ZUH,Zhuhai Airport,China,Zhuhai,22.011788,113.370601
